SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Stage,xPos,yPos,zPos,xRot,yRot,zRot
0,7_14,10_23_38,1.989097,1,0,0,1,1.782932,InstructionPhase,0.0139066,2.383192,-0.002708912,85.72823,310.5286,0,
0,7_14,10_23_38,2.001594,1,0,0,1,1.79543,InstructionPhase,0.01412582,2.383117,-0.002746701,85.72823,310.5286,0,
0,7_14,10_23_38,2.014565,1,0,0,1,1.808401,InstructionPhase,0.01429987,2.383121,-0.002800941,85.72823,310.5286,0,
0,7_14,10_23_38,2.038083,1,0,0,1,1.831919,InstructionPhase,0.01480818,2.382998,-0.003051102,85.72823,310.5286,0,
0,7_14,10_23_38,2.053444,1,0,0,1,1.84728,InstructionPhase,0.01487005,2.383039,-0.002993882,85.72823,310.5286,0,
0,7_14,10_23_38,2.067056,1,0,0,1,1.860892,InstructionPhase,0.01484382,2.382987,-0.00308162,85.72823,310.5286,0,
0,7_14,10_23_38,2.080694,1,0,0,1,1.87453,InstructionPhase,0.01479125,2.382967,-0.002964795,85.72823,310.5286,0,
0,7_14,10_23_38,2.093235,1,0,0,1,1.887071,InstructionPhase,0.01467884,2.382947,-0.002960503,85.72823,310.5286,0,
0,7_14,10_23_38,2.105623,1,0,0,1,1.899459,InstructionPhase,0.01454985,2.382911,-0.002968311,85.72823,310.5286,0,
0,7_14,10_23_38,2.119304,1,0,0,1,1.91314,InstructionPhase,0.0143888,2.38292,-0.002859056,85.72823,310.5286,0,
0,7_14,10_23_38,2.130974,1,0,0,1,1.92481,InstructionPhase,0.01417494,2.382875,-0.002886057,85.72823,310.5286,0,
0,7_14,10_23_38,2.144186,1,0,0,1,1.938022,InstructionPhase,0.01395071,2.382845,-0.002782702,85.72823,310.5286,0,
0,7_14,10_23_38,2.157294,1,0,0,1,1.95113,InstructionPhase,0.01375663,2.382845,-0.002859354,85.72823,310.5286,0,
0,7_14,10_23_38,2.169363,1,0,0,1,1.963199,InstructionPhase,0.0135442,2.382857,-0.002874732,85.72823,310.5286,0,
0,7_14,10_23_38,2.184391,1,0,0,1,1.978227,InstructionPhase,0.01311326,2.38289,-0.002879739,85.72823,310.5286,0,
0,7_14,10_23_38,2.197448,1,0,0,1,1.991284,InstructionPhase,0.01272392,2.382868,-0.002890229,85.72823,310.5286,0,
0,7_14,10_23_38,2.210886,1,0,0,1,2.004722,InstructionPhase,0.01237881,2.382878,-0.002966166,85.72823,310.5286,0,
