SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,screenFixationX,screenFixationY,gazeFixationX,gazeFixationY,gazeFixationZ,localGazeX,localGazeY,localGazeZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,rightEyePositionX,rightEyePositionY,rightEyePositionZ,leftEyeRotationX,leftEyeRotationY,leftEyeRotationZ,rightEyeRotationX,rightEyeRotationY,rightEyeRotationZ,leftEyePupilSize,rightEyePupilSize,leftEyeOpenAmount,rightEyeOpenAmount,GazeHitPointX,GazeHitPointY,GazeHitPointZ,GameObjectInFocus,LookDuration,AvgEyeMoveDist
0,4_3,11_24_19,4.326671,1,0,0,0,0.3513708,0.67,0.59,0.61,1.58,1.71,-0.07,-0.05,1.0,33.21,2.28,-34.43,-30.89,0.38,-31.15,0.04,-0.07,1.0,0.09,-0.05,0.99,3.989502,4.140503,1.0,1.0,-0.89,1.17,5.44,Front Wall,12.404443,0.09391114060359804
0,4_3,11_24_19,4.339522,1,0,0,0,0.364222,0.67,0.59,0.61,1.58,1.71,-0.07,-0.05,1.0,33.21,2.28,-34.43,-30.89,0.38,-31.15,0.04,-0.07,1.0,0.09,-0.05,0.99,3.985611,4.136093,1.0,1.0,-0.92,1.18,5.44,Front Wall,12.404443,0.09391114060359804
0,4_3,11_24_19,4.352789,1,0,0,0,0.3774891,0.67,0.59,0.61,1.58,1.71,-0.07,-0.05,1.0,33.2,2.29,-34.44,-30.89,0.38,-31.16,0.04,-0.08,1.0,0.09,-0.05,0.99,3.982269,4.110718,1.0,1.0,-0.96,1.19,5.44,Front Wall,12.404443,0.09391114060359804
0,4_3,11_24_19,4.36473,1,0,0,0,0.38943,0.67,0.59,0.61,1.58,1.71,-0.07,-0.06,1.0,33.15,2.3,-34.42,-30.88,0.44,-31.28,0.04,-0.09,1.0,0.09,-0.06,0.99,3.834671,3.92099,1.0,1.0,-0.94,1.13,5.44,Front Wall,12.404443,0.09391114060359804
0,4_3,11_24_19,4.378973,1,0,0,0,0.4036736,0.67,0.59,0.61,1.58,1.71,-0.07,-0.05,1.0,32.94,2.18,-33.65,-30.98,0.6,-31.35,0.03,-0.05,1.0,0.07,-0.03,1.0,3.857407,3.94017,1.0,1.0,-0.88,1.3,5.44,Front Wall,12.404443,0.09391114060359804
0,4_3,11_24_19,4.392677,1,0,0,0,0.4173775,0.67,0.59,0.61,1.59,1.71,-0.07,-0.05,1.0,32.82,2.39,-33.68,-30.93,0.79,-31.43,0.0,-0.02,1.0,0.05,0.01,1.0,3.801361,3.7957,1.0,1.0,-0.78,1.57,5.44,Front Wall,12.404443,0.09391114060359804
0,4_3,11_24_19,4.406915,1,0,0,0,0.4316154,0.67,0.59,0.61,1.6,1.71,-0.07,-0.04,1.0,32.81,2.54,-33.65,-30.84,0.92,-31.28,0.01,0.05,1.0,0.06,0.08,1.0,3.756592,3.787079,1.0,1.0,-0.8,1.94,5.44,Front Wall,12.404443,0.09391114060359804
0,4_3,11_24_19,4.419302,1,0,0,0,0.4440026,0.67,0.6,0.61,1.61,1.71,-0.07,-0.03,1.0,32.86,2.83,-34.36,-30.81,0.86,-30.96,0.01,0.06,1.0,0.07,0.1,0.99,3.688477,3.82933,1.0,1.0,-0.87,2.07,5.44,Front Wall,12.404443,0.09391114060359804
0,4_3,11_24_19,4.431219,1,0,0,0,0.4559188,0.67,0.6,0.61,1.62,1.71,-0.07,-0.02,1.0,32.87,2.78,-34.21,-30.81,0.82,-30.82,0.0,0.07,1.0,0.07,0.11,0.99,3.737549,3.860931,1.0,1.0,-0.87,2.12,5.44,Front Wall,12.404443,0.09391114060359804
0,4_3,11_24_19,4.443192,1,0,0,0,0.4678926,0.67,0.6,0.61,1.62,1.71,-0.07,-0.02,1.0,32.9,2.72,-34.1,-30.83,0.84,-30.96,0.01,0.07,1.0,0.07,0.11,0.99,3.669662,3.827362,1.0,1.0,-0.84,2.06,5.44,Front Wall,12.404443,0.09391114060359804
