SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,screenFixationX,screenFixationY,gazeFixationX,gazeFixationY,gazeFixationZ,localGazeX,localGazeY,localGazeZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,rightEyePositionX,rightEyePositionY,rightEyePositionZ,leftEyeRotationX,leftEyeRotationY,leftEyeRotationZ,rightEyeRotationX,rightEyeRotationY,rightEyeRotationZ,leftEyePupilSize,rightEyePupilSize,leftEyeOpenAmount,rightEyeOpenAmount,GazeHitPointX,GazeHitPointY,GazeHitPointZ,GameObjectInFocus,LookDuration,AvgEyeMoveDist
0,4_3,11_24_39,24.35645,2,0,1,0,0.3502693,0.79,0.62,23.63,1.54,1.08,-0.17,-0.24,0.96,33.29,1.37,-32.92,-30.78,-0.16,-30.71,0.08,-0.18,0.98,0.12,-0.17,0.98,3.343811,3.299164,1.0,1.0,20.86,0.88,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.36958,2,0,1,0,0.3633995,0.79,0.62,23.63,1.54,1.08,-0.16,-0.24,0.96,33.29,1.38,-32.92,-30.78,-0.15,-30.73,0.08,-0.18,0.98,0.12,-0.17,0.98,3.303619,3.28981,1.0,1.0,20.86,0.87,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.38207,2,0,1,0,0.3758907,0.79,0.63,23.64,1.54,1.08,-0.16,-0.23,0.96,33.3,1.38,-32.92,-30.78,-0.14,-30.75,0.08,-0.18,0.98,0.12,-0.17,0.98,3.295883,3.287613,1.0,1.0,20.87,0.85,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.39359,2,0,1,0,0.3874111,0.79,0.63,23.64,1.55,1.09,-0.16,-0.23,0.96,33.31,1.38,-32.93,-30.78,-0.13,-30.77,0.08,-0.18,0.98,0.12,-0.17,0.98,3.286072,3.269226,1.0,1.0,20.89,0.85,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.40576,2,0,1,0,0.39958,0.79,0.63,23.65,1.55,1.09,-0.15,-0.23,0.96,33.31,1.38,-32.93,-30.78,-0.11,-30.86,0.08,-0.18,0.98,0.12,-0.17,0.98,3.227676,3.236374,1.0,1.0,20.91,0.84,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.41844,2,0,1,0,0.412262,0.79,0.63,23.65,1.55,1.09,-0.15,-0.22,0.96,33.32,1.38,-32.94,-30.78,-0.08,-30.92,0.09,-0.18,0.98,0.12,-0.16,0.98,3.212524,3.215057,1.0,1.0,20.93,0.83,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.43154,2,0,1,0,0.4253616,0.79,0.63,23.65,1.56,1.09,-0.15,-0.22,0.96,33.33,1.38,-32.95,-30.78,-0.06,-30.97,0.09,-0.18,0.98,0.12,-0.16,0.98,3.197754,3.200897,1.0,1.0,20.95,0.82,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.44598,2,0,1,0,0.4397984,0.79,0.63,23.66,1.56,1.09,-0.14,-0.22,0.97,33.33,1.39,-32.96,-30.78,-0.03,-31.04,0.09,-0.18,0.98,0.12,-0.17,0.98,3.163879,3.162872,1.0,1.0,20.95,0.8,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.45749,2,0,1,0,0.4513073,0.79,0.63,23.66,1.56,1.09,-0.14,-0.22,0.97,33.34,1.39,-32.96,-30.77,-0.02,-31.07,0.09,-0.18,0.98,0.12,-0.17,0.98,3.156769,3.159393,1.0,1.0,20.95,0.8,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.47134,2,0,1,0,0.4651642,0.79,0.63,23.66,1.57,1.09,-0.14,-0.21,0.97,33.34,1.4,-32.98,-30.77,0.03,-31.2,0.09,-0.18,0.98,0.12,-0.17,0.98,3.072113,3.140503,1.0,1.0,20.96,0.81,8.78,CS+ Wall,7.74925,0.09867617110607738
