Timestamp (s),Frame,Emotion,Confidence (%)
2.12,107,neutral,94.0
2.12,107,happy,96.3
2.14,108,happy,96.2
2.14,108,neutral,92.6
2.16,109,happy,84.6
2.16,109,happy,53.4
2.18,110,happy,92.5
2.2,111,happy,76.3
2.22,112,happy,76.3
2.24,113,happy,99.8
2.24,113,neutral,98.9
2.24,113,happy,88.9
2.26,114,happy,99.8
2.26,114,neutral,53.0
2.28,115,happy,97.8
2.28,115,angry,63.5
2.3,116,happy,97.8
2.3,116,angry,63.0
2.32,117,happy,90.1
2.32,117,sad,70.8
2.34,118,happy,91.9
2.34,118,angry,91.2
2.36,119,happy,95.4
2.36,119,angry,75.1
2.38,120,happy,95.4
2.38,120,angry,98.8
2.4,121,happy,93.3
2.42,122,sad,96.1
2.44,123,neutral,92.2
2.44,123,happy,99.8
2.44,123,neutral,98.1
2.44,123,neutral,99.1
2.44,123,neutral,77.8
2.46,124,neutral,92.2
2.46,124,neutral,98.1
2.46,124,happy,99.8
2.46,124,neutral,83.7
2.46,124,neutral,98.4
2.48,125,happy,100.0
2.48,125,neutral,95.3
2.48,125,neutral,99.8
2.5,126,sad,97.8
2.5,126,happy,99.8
2.52,127,sad,78.1
2.52,127,sad,85.7
2.54,128,sad,58.7
2.54,128,sad,85.9
2.56,129,sad,67.8
2.56,129,sad,46.9
2.56,129,happy,32.8
2.58,130,sad,54.6
2.58,130,sad,56.2
2.58,130,happy,33.5
2.6,131,happy,84.9
2.6,131,happy,99.1
2.6,131,angry,67.9
2.6,131,happy,88.3
2.62,132,happy,99.1
2.62,132,happy,92.9
2.62,132,happy,88.3
2.62,132,angry,67.7
2.64,133,happy,78.3
2.64,133,happy,95.7
2.64,133,angry,78.5
2.66,134,happy,95.7
2.66,134,sad,61.8
2.66,134,angry,78.5
2.68,135,happy,98.3
2.68,135,sad,99.2
2.7,136,happy,99.2
2.7,136,sad,98.2
2.72,137,sad,98.2
2.72,137,happy,99.5
2.72,137,happy,99.8
2.74,138,sad,41.4
2.74,138,sad,78.0
2.74,138,fear,96.1
2.76,139,sad,55.7
2.76,139,sad,78.0
2.76,139,fear,91.4
2.78,140,happy,86.9
2.78,140,sad,87.0
2.78,140,fear,86.5
2.8,141,happy,86.8
2.8,141,sad,87.0
2.8,141,fear,86.5
2.82,142,happy,81.9
2.82,142,neutral,59.7
2.84,143,happy,81.9
2.84,143,neutral,72.4
2.86,144,sad,99.4
2.86,144,happy,97.2
2.88,145,sad,99.6
2.88,145,happy,98.6
2.9,146,happy,98.2
2.9,146,fear,94.7
2.92,147,happy,99.3
2.92,147,fear,91.4
2.94,148,happy,99.4
2.94,148,fear,84.1
2.94,148,fear,57.6
2.96,149,fear,84.1
2.96,149,happy,99.4
2.96,149,fear,57.6
2.98,150,sad,79.4
2.98,150,happy,51.4
2.98,150,fear,65.7
3.0,151,neutral,67.0
3.0,151,sad,79.4
3.0,151,fear,65.7
3.02,152,neutral,76.9
3.02,152,happy,74.0
3.02,152,fear,47.1
3.04,153,happy,74.0
3.04,153,neutral,51.1
3.04,153,fear,59.6
3.06,154,neutral,76.4
3.06,154,neutral,47.1
3.08,155,happy,73.7
3.08,155,neutral,58.4
3.08,155,angry,92.6
3.1,156,happy,74.1
3.1,156,happy,84.4
3.1,156,angry,92.7
3.12,157,happy,90.3
3.12,157,neutral,64.2
3.12,157,angry,68.8
3.14,158,happy,90.3
3.14,158,sad,49.7
3.14,158,angry,66.8
3.14,158,neutral,98.5
3.16,159,neutral,96.3
3.16,159,happy,99.9
3.16,159,happy,94.5
3.18,160,happy,99.5
3.18,160,happy,94.6
3.2,161,neutral,94.2
3.2,161,happy,98.7
3.2,161,sad,93.2
3.22,162,neutral,94.2
3.22,162,happy,99.0
3.22,162,sad,97.4
3.24,163,neutral,94.6
3.24,163,happy,90.7
3.24,163,happy,54.5
3.26,164,neutral,94.6
3.26,164,happy,87.6
3.26,164,happy,54.5
3.28,165,neutral,89.8
3.28,165,happy,99.5
3.3,166,neutral,89.8
3.3,166,happy,99.5
3.32,167,sad,87.0
3.32,167,neutral,64.6
3.32,167,angry,85.1
3.34,168,neutral,79.9
3.34,168,sad,93.6
3.34,168,angry,83.6
3.36,169,neutral,73.1
3.36,169,happy,94.4
3.36,169,sad,74.8
3.38,170,neutral,47.7
3.38,170,happy,91.5
3.38,170,sad,96.6
3.38,170,angry,79.7
3.4,171,angry,82.7
3.4,171,neutral,51.1
3.4,171,happy,81.7
3.4,171,sad,92.2
3.42,172,fear,46.7
3.42,172,happy,82.9
3.42,172,angry,98.1
3.42,172,angry,93.6
3.42,172,neutral,85.2
3.43,173,fear,52.2
3.43,173,happy,82.9
3.43,173,angry,98.2
3.43,173,angry,93.6
3.43,173,neutral,87.5
3.45,174,neutral,46.4
3.45,174,sad,89.2
3.45,174,happy,94.2
3.45,174,angry,74.8
3.47,175,neutral,46.4
3.47,175,happy,94.1
3.47,175,sad,89.1
3.47,175,angry,74.5
3.49,176,fear,60.4
3.49,176,happy,97.4
3.49,176,neutral,54.8
3.51,177,fear,60.4
3.51,177,happy,97.4
3.51,177,angry,47.9
3.53,178,happy,58.8
3.53,178,angry,93.0
3.55,179,happy,58.8
3.55,179,angry,93.1
3.57,180,happy,97.5
3.57,180,neutral,40.7
3.59,181,happy,55.0
3.59,181,sad,60.5
3.61,182,fear,44.4
3.61,182,sad,51.0
3.61,182,neutral,85.3
3.63,183,fear,39.9
3.63,183,sad,53.7
3.63,183,neutral,85.2
3.65,184,fear,47.0
3.65,184,sad,55.3
3.65,184,neutral,89.4
3.67,185,fear,53.5
3.67,185,happy,65.6
3.67,185,neutral,83.7
3.69,186,fear,59.7
3.69,186,fear,87.5
3.69,186,happy,98.9
3.69,186,sad,40.7
3.69,186,angry,56.2
3.71,187,fear,59.8
3.71,187,fear,82.8
3.71,187,happy,98.9
3.71,187,neutral,68.2
3.73,188,fear,77.6
3.73,188,happy,98.0
3.73,188,fear,68.1
3.73,188,angry,86.4
3.75,189,neutral,98.3
3.75,189,sad,90.8
3.77,190,sad,43.7
3.77,190,sad,100.0
3.77,190,neutral,60.5
3.77,190,happy,87.0
3.79,191,sad,62.0
3.79,191,sad,100.0
3.79,191,happy,67.9
3.79,191,neutral,92.7
3.81,192,neutral,92.6
3.81,192,sad,55.2
3.81,192,neutral,99.2
3.81,192,neutral,61.0
3.83,193,happy,75.5
3.83,193,sad,91.7
3.83,193,neutral,98.2
3.85,194,neutral,97.5
3.85,194,happy,74.2
3.85,194,sad,73.1
3.85,194,neutral,99.1
3.87,195,neutral,96.0
3.87,195,happy,67.0
3.87,195,sad,81.1
3.87,195,neutral,99.1
3.89,196,happy,98.3
3.89,196,sad,85.5
3.89,196,neutral,95.5
3.91,197,happy,76.3
3.91,197,fear,49.5
3.91,197,neutral,98.5
3.93,198,neutral,70.3
3.93,198,sad,97.4
3.93,198,neutral,94.9
3.95,199,neutral,64.1
3.95,199,sad,97.8
3.95,199,neutral,94.9
3.97,200,neutral,68.8
3.97,200,neutral,87.7
3.99,201,neutral,73.7
3.99,201,angry,47.7
4.01,202,neutral,65.0
4.01,202,fear,76.6
4.03,203,neutral,65.0
4.03,203,angry,53.5
4.05,204,fear,96.6
4.05,204,fear,84.3
4.07,205,happy,60.4
4.07,205,angry,54.5
4.09,206,happy,91.9
4.09,206,neutral,57.4
4.11,207,happy,91.9
4.11,207,sad,58.3
4.13,208,neutral,92.7
4.13,208,happy,94.7
4.13,208,neutral,93.3
4.15,209,happy,87.3
4.15,209,neutral,91.9
4.15,209,sad,49.4
4.17,210,happy,100.0
4.17,210,neutral,96.5
4.17,210,sad,54.6
4.19,211,happy,100.0
4.19,211,neutral,90.7
4.19,211,sad,51.7
4.21,212,happy,96.8
4.21,212,neutral,92.9
4.23,213,happy,97.1
4.23,213,neutral,94.7
4.25,214,happy,98.5
4.25,214,neutral,94.4
4.27,215,happy,98.5
4.27,215,neutral,94.6
4.29,216,happy,97.0
4.29,216,neutral,82.3
4.31,217,happy,98.3
4.31,217,neutral,81.7
4.31,217,neutral,81.3
4.33,218,happy,99.7
4.33,218,neutral,87.5
4.33,218,neutral,90.4
4.33,218,neutral,91.0
4.35,219,neutral,90.4
4.35,219,neutral,87.6
4.35,219,happy,99.7
4.35,219,neutral,91.0
4.37,220,happy,98.6
4.37,220,sad,48.4
4.37,220,neutral,53.1
4.37,220,neutral,62.0
4.39,221,sad,71.6
4.39,221,happy,99.8
4.39,221,neutral,84.4
4.39,221,neutral,50.7
4.41,222,happy,97.9
4.41,222,sad,67.2
4.41,222,neutral,70.6
4.43,223,happy,97.9
4.43,223,sad,69.6
4.43,223,neutral,70.5
4.45,224,neutral,62.7
4.45,224,fear,76.8
4.47,225,fear,80.6
4.49,226,fear,79.8
4.51,227,neutral,62.4
4.51,227,happy,99.7
4.53,228,neutral,72.4
4.53,228,neutral,62.3
4.55,229,happy,97.0
4.55,229,neutral,97.3
4.57,230,happy,96.9
4.57,230,neutral,49.6
4.57,230,neutral,97.7
4.59,231,happy,95.1
4.59,231,neutral,86.7
4.61,232,happy,95.1
4.61,232,sad,88.3
4.61,232,neutral,80.5
4.63,233,happy,92.2
4.63,233,sad,43.5
4.65,234,fear,55.5
4.65,234,happy,94.2
4.65,234,neutral,99.1
4.67,235,neutral,66.2
4.67,235,happy,96.8
4.69,236,neutral,66.2
4.69,236,happy,96.8
4.71,237,happy,95.5
4.73,238,happy,87.3
4.75,239,neutral,70.9
4.75,239,happy,76.0
4.77,240,neutral,70.5
4.77,240,happy,80.7
4.79,241,happy,40.9
4.79,241,neutral,46.5
4.79,241,neutral,97.1
4.8,242,neutral,46.5
4.8,242,neutral,40.7
4.8,242,neutral,97.1
4.82,243,neutral,97.3
4.82,243,happy,80.7
4.84,244,neutral,97.2
4.84,244,happy,80.7
4.86,245,sad,78.1
4.88,246,happy,66.3
4.9,247,sad,90.9
4.92,248,sad,83.1
4.94,249,sad,64.0
4.96,250,sad,55.7
4.96,250,neutral,78.2
4.98,251,neutral,66.8
4.98,251,sad,50.1
4.98,251,neutral,64.8
4.98,251,neutral,52.1
5.0,252,neutral,61.3
5.0,252,sad,50.1
5.0,252,neutral,64.8
5.0,252,happy,90.9
5.02,253,neutral,66.6
5.02,253,fear,69.4
5.04,254,neutral,66.9
5.04,254,fear,61.8
5.06,255,neutral,58.4
5.06,255,happy,40.0
5.06,255,angry,96.4
5.08,256,neutral,58.4
5.08,256,happy,40.0
5.08,256,angry,96.4
5.1,257,sad,71.9
5.1,257,fear,45.7
5.12,258,fear,45.7
5.12,258,sad,62.2
5.14,259,neutral,68.4
5.14,259,happy,99.5
5.16,260,fear,43.6
5.16,260,happy,98.4
5.18,261,fear,61.7
5.18,261,happy,61.8
5.18,261,happy,66.7
5.2,262,happy,88.7
5.2,262,happy,45.0
5.22,263,sad,78.7
5.24,264,sad,84.6
5.26,265,fear,49.7
5.26,265,happy,62.5
5.26,265,angry,94.2
5.28,266,fear,49.7
5.28,266,happy,62.5
5.28,266,angry,94.3
5.3,267,neutral,46.4
5.3,267,sad,84.6
5.3,267,neutral,79.3
5.3,267,happy,56.9
5.32,268,neutral,46.4
5.32,268,sad,84.7
5.32,268,neutral,78.4
5.32,268,neutral,93.8
5.34,269,fear,54.0
5.34,269,neutral,93.0
5.34,269,happy,95.8
5.34,269,neutral,77.5
5.36,270,fear,54.0
5.36,270,happy,91.3
5.36,270,sad,65.9
5.36,270,neutral,93.9
5.38,271,happy,99.7
5.4,272,happy,98.0
5.42,273,fear,46.5
5.42,273,happy,51.3
5.44,274,sad,56.4
5.46,275,sad,60.7
5.46,275,happy,43.1
5.46,275,neutral,50.7
5.48,276,sad,60.7
5.48,276,neutral,37.4
5.48,276,neutral,44.7
5.5,277,sad,40.6
5.52,278,fear,37.7
5.54,279,fear,65.6
5.54,279,neutral,74.2
5.54,279,fear,66.4
5.54,279,fear,87.2
5.54,279,sad,83.5
5.56,280,neutral,74.0
5.56,280,fear,53.6
5.56,280,sad,78.3
5.56,280,fear,87.2
5.56,280,fear,66.4
5.58,281,happy,97.9
5.58,281,neutral,71.5
5.58,281,fear,41.0
5.58,281,sad,79.7
5.6,282,neutral,72.6
5.6,282,happy,97.2
5.6,282,fear,43.2
5.6,282,sad,81.2
5.62,283,neutral,39.9
5.62,283,happy,98.9
5.62,283,sad,97.2
5.62,283,sad,76.0
5.64,284,happy,98.0
5.64,284,neutral,39.9
5.64,284,sad,97.7
5.64,284,sad,75.5
5.66,285,sad,95.4
5.66,285,happy,99.3
5.66,285,sad,88.9
5.66,285,happy,79.5
5.68,286,happy,99.3
5.68,286,sad,98.7
5.68,286,sad,77.8
5.68,286,happy,69.5
5.7,287,neutral,77.7
5.7,287,sad,62.1
5.7,287,sad,99.5
5.7,287,happy,96.4
5.72,288,neutral,78.3
5.72,288,sad,75.1
5.72,288,sad,99.5
5.72,288,happy,96.4
5.74,289,sad,94.8
5.74,289,sad,62.4
5.76,290,sad,94.7
5.76,290,sad,64.9
5.78,291,sad,97.4
5.78,291,neutral,65.4
5.78,291,sad,63.3
5.8,292,sad,97.0
5.8,292,sad,85.3
5.8,292,angry,49.1
5.82,293,sad,85.4
5.82,293,angry,49.2
5.82,293,sad,97.0
5.84,294,neutral,61.2
5.84,294,sad,87.2
5.84,294,neutral,95.8
5.86,295,neutral,61.2
5.86,295,neutral,96.0
5.86,295,sad,87.1
5.88,296,sad,73.0
5.88,296,sad,45.0
5.9,297,sad,66.5
5.9,297,sad,44.6
5.92,298,fear,56.2
5.92,298,neutral,95.1
5.92,298,happy,50.8
5.94,299,happy,51.0
5.94,299,fear,67.2
5.94,299,neutral,96.2
5.96,300,neutral,99.6
5.96,300,fear,87.0
5.96,300,sad,54.8
5.98,301,neutral,99.6
5.98,301,fear,87.0
5.98,301,sad,52.0
6.0,302,neutral,98.7
6.0,302,fear,79.9
6.0,302,sad,55.7
6.02,303,neutral,99.2
6.02,303,fear,79.9
6.02,303,sad,55.7
6.02,303,neutral,46.1
6.04,304,sad,67.8
6.04,304,neutral,95.9
6.04,304,happy,99.7
6.04,304,sad,49.3
6.04,304,sad,73.7
6.06,305,sad,67.1
6.06,305,neutral,95.9
6.06,305,happy,99.8
6.06,305,sad,49.3
6.06,305,sad,52.0
6.08,306,happy,97.0
6.08,306,happy,41.4
6.08,306,fear,82.8
6.08,306,neutral,99.5
6.1,307,sad,57.9
6.1,307,happy,57.0
6.1,307,fear,82.5
6.1,307,neutral,99.5
6.12,308,happy,95.3
6.12,308,happy,83.1
6.12,308,neutral,98.9
6.12,308,neutral,89.2
6.14,309,happy,96.7
6.14,309,happy,71.4
6.14,309,neutral,99.9
6.16,310,happy,96.7
6.16,310,happy,71.4
6.16,310,neutral,99.9
6.17,311,happy,33.6
6.17,311,sad,99.0
6.17,311,neutral,46.6
6.19,312,fear,36.9
6.19,312,sad,99.0
6.19,312,neutral,46.6
6.21,313,neutral,71.5
6.21,313,sad,38.3
6.21,313,neutral,98.6
6.21,313,happy,94.8
6.23,314,sad,38.3
6.23,314,neutral,77.8
6.23,314,neutral,98.6
6.23,314,happy,94.8
6.25,315,sad,50.3
6.25,315,neutral,74.8
6.27,316,sad,50.3
6.27,316,neutral,74.8
6.29,317,sad,100.0
6.29,317,neutral,82.5
6.29,317,happy,100.0
6.31,318,sad,100.0
6.31,318,neutral,82.5
6.31,318,happy,100.0
6.33,319,fear,78.7
6.33,319,neutral,88.5
6.35,320,fear,70.4
6.35,320,neutral,88.5
6.37,321,fear,56.0
6.37,321,neutral,96.3
6.39,322,fear,56.3
6.39,322,neutral,91.3
