SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,GazeHitPointX,GazeHitPointY,GazeHitPointZ
0,3_27,15_42_19,2.238338,1,0,0,0,1.419084,0.02,0.06,0.49
0,3_27,15_42_19,2.250154,1,0,0,0,1.4309,0.02,0.06,0.49
0,3_27,15_42_19,2.262245,1,0,0,0,1.442991,0.02,0.06,0.48
0,3_27,15_42_19,2.273974,1,0,0,0,1.45472,0.02,0.06,0.48
0,3_27,15_42_19,2.28543,1,0,0,0,1.466175,0.02,0.06,0.48
0,3_27,15_42_19,2.297575,1,0,0,0,1.478321,0.02,0.06,0.48
0,3_27,15_42_19,2.30951,1,0,0,0,1.490255,0.02,0.06,0.48
0,3_27,15_42_19,2.321615,1,0,0,0,1.50236,0.02,0.06,0.48
0,3_27,15_42_19,2.333538,1,0,0,0,1.514283,0.02,0.06,0.48
0,3_27,15_42_19,2.345548,1,0,0,0,1.526294,0.02,0.06,0.48
0,3_27,15_42_19,2.35733,1,0,0,0,1.538075,0.02,0.06,0.48
0,3_27,15_42_19,2.369448,1,0,0,0,1.550194,0.02,0.06,0.48
0,3_27,15_42_19,2.381486,1,0,0,0,1.562232,0.02,0.06,0.48
0,3_27,15_42_19,2.393448,1,0,0,0,1.574194,0.02,0.06,0.48
0,3_27,15_42_19,2.405159,1,0,0,0,1.585904,0.02,0.06,0.48
0,3_27,15_42_19,2.417143,1,0,0,0,1.597888,0.02,0.06,0.48
0,3_27,15_42_19,2.429114,1,0,0,0,1.60986,0.02,0.06,0.48
0,3_27,15_42_19,2.44195,1,0,0,0,1.622695,0.02,0.06,0.48
0,3_27,15_42_19,2.453702,1,0,0,0,1.634448,0.02,0.06,0.48
0,3_27,15_42_19,2.465472,1,0,0,0,1.646218,0.02,0.06,0.48
0,3_27,15_42_19,2.477684,1,0,0,0,1.65843,0.02,0.06,0.48
0,3_27,15_42_19,2.490052,1,0,0,0,1.670797,0.02,0.06,0.48
0,3_27,15_42_19,2.502514,1,0,0,0,1.68326,0.02,0.06,0.49
0,3_27,15_42_19,2.514747,1,0,0,0,1.695493,0.02,0.06,0.49
0,3_27,15_42_19,2.526423,1,0,0,0,1.707168,0.02,0.06,0.49
0,3_27,15_42_19,2.538842,1,0,0,0,1.719587,0.02,0.06,0.48
0,3_27,15_42_19,2.551213,1,0,0,0,1.731959,0.02,0.06,0.47
0,3_27,15_42_19,2.563453,1,0,0,0,1.744198,0.02,0.06,0.48
0,3_27,15_42_19,2.578405,1,0,0,0,1.759151,0.02,0.06,0.49
0,3_27,15_42_19,2.590541,1,0,0,0,1.771286,0.02,0.06,0.48
0,3_27,15_42_19,2.602636,1,0,0,0,1.783382,0.02,0.06,0.48
0,3_27,15_42_19,2.614841,1,0,0,0,1.795586,0.02,0.06,0.48
0,3_27,15_42_19,2.626626,1,0,0,0,1.807372,0.02,0.06,0.48
0,3_27,15_42_19,2.638461,1,0,0,0,1.819207,0.02,0.06,0.48
0,3_27,15_42_19,2.650384,1,0,0,0,1.83113,0.02,0.06,0.48
0,3_27,15_42_19,2.662501,1,0,0,0,1.843246,0.02,0.06,0.48
0,3_27,15_42_19,2.674406,1,0,0,0,1.855151,0.02,0.06,0.48
0,3_27,15_42_19,2.686329,1,0,0,0,1.867075,0.02,0.06,0.48
0,3_27,15_42_19,2.698472,1,0,0,0,1.879218,0.02,0.06,0.48
0,3_27,15_42_19,2.710336,1,0,0,0,1.891081,0.02,0.06,0.48
0,3_27,15_42_19,2.722337,1,0,0,0,1.903083,0.02,0.06,0.48
0,3_27,15_42_19,2.733623,1,0,0,0,1.914368,0.02,0.06,0.48
0,3_27,15_42_19,2.745454,1,0,0,0,1.9262,0.02,0.06,0.48
0,3_27,15_42_19,2.757677,1,0,0,0,1.938422,0.01,0.06,0.48
0,3_27,15_42_19,2.76992,1,0,0,0,1.950666,0.02,0.06,0.48
0,3_27,15_42_19,2.782558,1,0,0,0,1.963304,0.02,0.06,0.48
0,3_27,15_42_19,2.794486,1,0,0,0,1.975232,0.02,0.06,0.48
0,3_27,15_42_19,2.806744,1,0,0,0,1.98749,0.02,0.06,0.48
0,3_27,15_42_19,2.81851,1,0,0,0,1.999256,0.02,0.06,0.48
0,3_27,15_42_19,2.830351,1,0,0,0,2.011097,0.02,0.06,0.48
0,3_27,15_42_19,2.842323,1,0,0,0,2.023068,0.02,0.06,0.48
0,3_27,15_42_19,2.854542,1,0,0,0,2.035288,0.02,0.06,0.48
0,3_27,15_42_19,2.866196,1,0,0,0,2.046941,0.02,0.06,0.48
0,3_27,15_42_19,2.878139,1,0,0,0,2.058884,0.02,0.06,0.48
0,3_27,15_42_20,2.891038,1,0,0,0,2.071784,0.02,0.06,0.48
0,3_27,15_42_20,2.904253,1,0,0,0,2.084999,0.02,0.06,0.48
0,3_27,15_42_20,2.916776,1,0,0,0,2.097522,0.02,0.06,0.48
0,3_27,15_42_20,2.929717,1,0,0,0,2.110462,0.02,0.06,0.48
0,3_27,15_42_20,2.941575,1,0,0,0,2.122321,0.02,0.06,0.48
0,3_27,15_42_20,2.954026,1,0,0,0,2.134772,0.02,0.06,0.48
0,3_27,15_42_20,2.966356,1,0,0,0,2.147101,0.02,0.06,0.48
0,3_27,15_42_20,2.978683,1,0,0,0,2.159429,0.02,0.06,0.48
0,3_27,15_42_20,2.990445,1,0,0,0,2.17119,0.02,0.06,0.48
0,3_27,15_42_20,3.002351,1,0,0,0,2.183096,0.02,0.06,0.48
0,3_27,15_42_20,3.014931,1,0,0,0,2.195677,1.86,1.36,6.87
0,3_27,15_42_20,3.030256,1,0,0,0,2.211001,1.85,1.34,6.87
0,3_27,15_42_20,3.043193,1,0,0,0,2.223939,1.86,1.34,6.87
0,3_27,15_42_20,3.055596,1,0,0,0,2.236341,1.85,1.34,6.87
0,3_27,15_42_20,3.067624,1,0,0,0,2.248369,1.86,1.34,6.87
0,3_27,15_42_20,3.079554,1,0,0,0,2.260299,1.85,1.34,6.88
0,3_27,15_42_20,3.091711,1,0,0,0,2.272457,1.84,1.33,6.88
0,3_27,15_42_20,3.10353,1,0,0,0,2.284276,1.84,1.33,6.88
0,3_27,15_42_20,3.115377,1,0,0,0,2.296123,1.84,1.33,6.89
0,3_27,15_42_20,3.127458,1,0,0,0,2.308204,1.84,1.32,6.89
0,3_27,15_42_20,3.139643,1,0,0,0,2.320389,1.84,1.32,6.88
0,3_27,15_42_20,3.151379,1,0,0,0,2.332124,1.84,1.33,6.88
0,3_27,15_42_20,3.163466,1,0,0,0,2.344212,1.84,1.32,6.88
0,3_27,15_42_20,3.175387,1,0,0,0,2.356133,1.85,1.32,6.88
0,3_27,15_42_20,3.187295,1,0,0,0,2.368041,1.85,1.32,6.88
0,3_27,15_42_20,3.199703,1,0,0,0,2.380449,1.85,1.32,6.88
0,3_27,15_42_20,3.211592,1,0,0,0,2.392338,1.85,1.31,6.88
0,3_27,15_42_20,3.223995,1,0,0,0,2.40474,1.85,1.31,6.88
0,3_27,15_42_20,3.236726,1,0,0,0,2.417471,1.85,1.33,6.87
0,3_27,15_42_20,3.248433,1,0,0,0,2.429178,1.85,1.32,6.88
0,3_27,15_42_20,3.260735,1,0,0,0,2.44148,1.84,1.32,6.88
0,3_27,15_42_20,3.272484,1,0,0,0,2.45323,1.84,1.32,6.88
0,3_27,15_42_20,3.284095,1,0,0,0,2.46484,1.84,1.32,6.88
0,3_27,15_42_20,3.296335,1,0,0,0,2.477081,1.84,1.32,6.88
0,3_27,15_42_20,3.308259,1,0,0,0,2.489004,1.84,1.32,6.88
0,3_27,15_42_20,3.320349,1,0,0,0,2.501094,1.84,1.32,6.88
0,3_27,15_42_20,3.332262,1,0,0,0,2.513008,1.84,1.32,6.88
0,3_27,15_42_20,3.343591,1,0,0,0,2.524337,1.84,1.32,6.88
0,3_27,15_42_20,3.355485,1,0,0,0,2.536231,1.84,1.33,6.88
0,3_27,15_42_20,3.368664,1,0,0,0,2.54941,1.84,1.34,6.88
0,3_27,15_42_20,3.380484,1,0,0,0,2.561229,1.84,1.34,6.88
0,3_27,15_42_20,3.392502,1,0,0,0,2.573247,1.84,1.34,6.88
0,3_27,15_42_20,3.404543,1,0,0,0,2.585289,1.84,1.34,6.88
0,3_27,15_42_20,3.416348,1,0,0,0,2.597093,1.85,1.34,6.88
0,3_27,15_42_20,3.431731,1,0,0,0,2.612477,1.86,1.33,6.87
0,3_27,15_42_20,3.443347,1,0,0,0,2.624092,1.86,1.34,6.87
0,3_27,15_42_20,3.455439,1,0,0,0,2.636185,1.86,1.31,6.87
0,3_27,15_42_20,3.467356,1,0,0,0,2.648101,1.86,1.32,6.87
0,3_27,15_42_20,3.479271,1,0,0,0,2.660017,1.86,1.32,6.87
0,3_27,15_42_20,3.492039,1,0,0,0,2.672785,1.86,1.32,6.87
0,3_27,15_42_20,3.504632,1,0,0,0,2.685377,1.86,1.31,6.87
0,3_27,15_42_20,3.516656,1,0,0,0,2.697401,1.85,1.31,6.88
