SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Stage,Context,xPos,yPos,zPos,xRot,yRot,zRot
0,7_25,11_53_42,5.647212,1,0,0,0,1.360717,InstructionPhase,A,-0.1976205,2.4108,0.06883395,2.680433,0.1344288,356.1408,
0,7_25,11_53_42,5.657182,1,0,0,0,1.370687,InstructionPhase,A,-0.1977347,2.411046,0.06866133,2.590462,0.01213792,356.0898,
0,7_25,11_53_42,5.668339,1,0,0,0,1.381845,InstructionPhase,A,-0.1977901,2.411263,0.06856513,2.502937,359.8892,356.0513,
0,7_25,11_53_42,5.679324,1,0,0,0,1.392829,InstructionPhase,A,-0.1978656,2.411499,0.06838417,2.427864,359.7958,356.0173,
0,7_25,11_53_42,5.690493,1,0,0,0,1.403998,InstructionPhase,A,-0.19787,2.411723,0.0681169,2.369441,359.7115,355.9922,
0,7_25,11_53_42,5.702196,1,0,0,0,1.415702,InstructionPhase,A,-0.1978366,2.411921,0.06800354,2.310287,359.6344,355.9799,
0,7_25,11_53_42,5.712629,1,0,0,0,1.426135,InstructionPhase,A,-0.1977701,2.412138,0.06784594,2.23998,359.5731,355.9723,
0,7_25,11_53_42,5.723764,1,0,0,0,1.43727,InstructionPhase,A,-0.1977533,2.412373,0.06771243,2.12273,359.5418,355.9827,
0,7_25,11_53_42,5.734851,1,0,0,0,1.448357,InstructionPhase,A,-0.1976446,2.412662,0.06753457,1.976128,359.5243,355.9781,
0,7_25,11_53_42,5.751199,1,0,0,0,1.464705,InstructionPhase,A,-0.1974502,2.413015,0.0672965,1.773505,359.558,355.9937,
0,7_25,11_53_42,5.762151,1,0,0,0,1.475657,InstructionPhase,A,-0.1972352,2.413346,0.06708384,1.620487,359.5456,355.9844,
0,7_25,11_53_42,5.773348,1,0,0,0,1.486854,InstructionPhase,A,-0.1970093,2.41369,0.06676829,1.445576,359.5852,355.9886,
0,7_25,11_53_42,5.78442,1,0,0,0,1.497926,InstructionPhase,A,-0.1967814,2.414057,0.06643867,1.276019,359.6158,355.9847,
0,7_25,11_53_42,5.795816,1,0,0,0,1.509322,InstructionPhase,A,-0.1965272,2.414479,0.06611443,1.091669,359.672,355.9883,
0,7_25,11_53_42,5.806581,1,0,0,0,1.520086,InstructionPhase,A,0.0002532005,2.414915,-0.0002567768,0.903931,359.7264,355.9808,
0,7_25,11_53_43,5.82924,1,0,0,0,1.542746,InstructionPhase,A,0.0004585981,2.41537,-0.000582099,0.6940137,359.8224,355.977,
0,7_25,11_53_43,5.839895,1,0,0,0,1.553401,InstructionPhase,A,0.0006673336,2.415777,-0.0009227991,0.5030485,359.882,355.9631,
0,7_25,11_53_43,5.851087,1,0,0,0,1.564592,InstructionPhase,A,0.0009135008,2.416116,-0.001254201,0.3191497,359.9221,355.9518,
