SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Stage,xPos,yPos,zPos,xRot,yRot,zRot
0,7_2,10_10_20,7.390264,1,0,0,1,1.802975,InstructionPhase,-0.3107282,2.438529,0.07285917,356.6674,4.81334,356.7682,
0,7_2,10_10_20,7.404204,1,0,0,1,1.816916,InstructionPhase,-0.3106797,2.4386,0.07277822,356.6868,4.767656,356.8001,
0,7_2,10_10_20,7.418089,1,0,0,1,1.830801,InstructionPhase,-0.3107117,2.438703,0.07249296,356.6704,4.670397,356.8264,
0,7_2,10_10_20,7.432202,1,0,0,1,1.844913,InstructionPhase,-0.3106871,2.43874,0.07239652,356.6491,4.632219,356.8393,
0,7_2,10_10_20,7.448967,1,0,0,1,1.861678,InstructionPhase,-0.3107063,2.438714,0.07237542,356.6581,4.601845,356.8285,
0,7_2,10_10_20,7.462793,1,0,0,1,1.875504,InstructionPhase,-0.310675,2.43872,0.07218516,356.6569,4.510653,356.8255,
0,7_2,10_10_20,7.476987,1,0,0,1,1.889699,InstructionPhase,-0.3106639,2.438747,0.0722158,356.6616,4.46722,356.8214,
0,7_2,10_10_20,7.489918,1,0,0,1,1.90263,InstructionPhase,-0.3107047,2.438769,0.07218719,356.6736,4.41555,356.8232,
0,7_2,10_10_20,7.502424,1,0,0,1,1.915136,InstructionPhase,-0.3107424,2.438762,0.07222521,356.6862,4.32869,356.807,
0,7_2,10_10_20,7.515599,1,0,0,1,1.92831,InstructionPhase,-0.3108261,2.438778,0.07224941,356.7101,4.247583,356.7905,
0,7_2,10_10_20,7.52951,1,0,0,1,1.942221,InstructionPhase,-0.3110127,2.438741,0.07232249,356.7452,4.092162,356.7651,
0,7_2,10_10_20,7.544765,1,0,0,1,1.957477,InstructionPhase,-0.3110479,2.438749,0.07242131,356.7413,4.005458,356.7653,
0,7_2,10_10_20,7.560827,1,0,0,1,1.973539,InstructionPhase,-0.3110189,2.438844,0.07255685,356.7288,3.913627,356.8056,
0,7_2,10_10_20,7.574525,1,0,0,1,1.987237,InstructionPhase,-0.3111681,2.43889,0.07278788,356.7117,3.744456,356.8956,
0,7_2,10_10_20,7.586906,1,0,0,1,1.999618,InstructionPhase,-0.3111864,2.438897,0.07298148,356.7108,3.65137,356.9822,
0,7_2,10_10_20,7.601746,1,0,0,1,2.014458,InstructionPhase,-0.31124,2.438908,0.07314515,356.7135,3.553263,357.0906,
0,7_2,10_10_20,7.616771,1,0,0,1,2.029482,InstructionPhase,-0.3113241,2.439006,0.0735451,356.7071,3.380585,357.2519,
0,7_2,10_10_20,7.631915,1,0,0,1,2.044626,InstructionPhase,-0.3111833,2.439072,0.07375479,356.684,3.327316,357.3263,
0,7_2,10_10_20,7.645563,1,0,0,1,2.058274,InstructionPhase,-0.3111031,2.439074,0.07394016,356.6513,3.265221,357.371,
0,7_2,10_10_21,7.659303,1,0,0,1,2.072014,InstructionPhase,-0.310854,2.439111,0.07415819,356.6194,3.2318,357.399,
0,7_2,10_10_21,7.67171,1,0,0,1,2.084422,InstructionPhase,-0.310361,2.439116,0.07461679,356.567,3.14478,357.4542,
0,7_2,10_10_21,7.685775,1,0,0,1,2.098486,InstructionPhase,-0.3098689,2.439159,0.07477009,356.5542,3.133977,357.4643,
0,7_2,10_10_21,7.698987,1,0,0,1,2.111699,InstructionPhase,-0.3093381,2.439185,0.0750221,356.5294,3.105608,357.4844,
0,7_2,10_10_21,7.716267,1,0,0,1,2.128978,InstructionPhase,-0.3084822,2.439189,0.07536983,356.5193,3.076583,357.4727,
0,7_2,10_10_21,7.730031,1,0,0,1,2.142742,InstructionPhase,-0.3079313,2.439173,0.0755384,356.5351,3.075253,357.4251,
0,7_2,10_10_21,7.743179,1,0,0,1,2.15589,InstructionPhase,-0.307416,2.43916,0.07573581,356.5399,3.075655,357.3845,
0,7_2,10_10_21,7.756304,1,0,0,1,2.169015,InstructionPhase,-0.3068874,2.439074,0.07590854,356.5553,3.076772,357.3407,
0,7_2,10_10_21,7.770259,1,0,0,1,2.182971,InstructionPhase,-0.3063706,2.439034,0.07609963,356.5745,3.071781,357.3073,
0,7_2,10_10_21,7.782817,1,0,0,1,2.195529,InstructionPhase,-0.3052782,2.439002,0.07641888,356.5918,3.061572,357.2346,
0,7_2,10_10_21,7.795855,1,0,0,1,2.208567,InstructionPhase,-0.3047575,2.439067,0.0765692,356.5868,3.038937,357.1924,
0,7_2,10_10_21,7.807864,1,0,0,1,2.220575,InstructionPhase,-0.3043473,2.439094,0.07672596,356.5713,3.012854,357.1597,
0,7_2,10_10_21,7.820629,1,0,0,1,2.23334,InstructionPhase,-0.3039153,2.439161,0.07689774,356.5429,2.966138,357.1284,
0,7_2,10_10_21,7.834179,1,0,0,1,2.246891,InstructionPhase,-0.3036817,2.439213,0.0771277,356.5041,2.900052,357.0768,
0,7_2,10_10_21,7.847148,1,0,0,1,2.25986,InstructionPhase,-0.3034827,2.439299,0.07733643,356.4521,2.814459,357.0443,
0,7_2,10_10_21,7.859916,1,0,0,1,2.272627,InstructionPhase,-0.3033988,2.43938,0.07754302,356.3889,2.71143,357.0095,
0,7_2,10_10_21,7.872338,1,0,0,1,2.285049,InstructionPhase,-0.3030245,2.439546,0.07799864,356.2749,2.523339,356.9426,
0,7_2,10_10_21,7.884962,1,0,0,1,2.297673,InstructionPhase,-0.3030152,2.439687,0.07828724,356.2026,2.376386,356.9259,
0,7_2,10_10_21,7.898288,1,0,0,1,2.311,InstructionPhase,-0.303028,2.43979,0.07862651,356.13,2.224464,356.9336,
0,7_2,10_10_21,7.911036,1,0,0,1,2.323748,InstructionPhase,-0.3030074,2.439893,0.07902849,356.0558,2.057341,356.9384,
0,7_2,10_10_21,7.92477,1,0,0,1,2.337481,InstructionPhase,-0.3030276,2.43997,0.07950795,355.9792,1.89008,356.9481,
0,7_2,10_10_21,7.937687,1,0,0,1,2.350399,InstructionPhase,-0.3030446,2.440037,0.08004892,355.9141,1.721352,356.9383,
0,7_2,10_10_21,7.951542,1,0,0,1,2.364254,InstructionPhase,-0.3030279,2.440207,0.08105433,355.7827,1.421743,356.909,
0,7_2,10_10_21,7.96622,1,0,0,1,2.378932,InstructionPhase,-0.303021,2.440197,0.08160424,355.7063,1.277135,356.8997,
0,7_2,10_10_21,7.98083,1,0,0,1,2.393542,InstructionPhase,-0.3030373,2.440231,0.08228564,355.6585,1.145995,356.9119,
0,7_2,10_10_21,7.994305,1,0,0,1,2.407016,InstructionPhase,-0.30305,2.440219,0.08349872,355.5553,0.8780379,356.945,
0,7_2,10_10_21,8.007009,1,0,0,1,2.41972,InstructionPhase,-0.3030707,2.440209,0.08415365,355.5485,0.7649248,356.9692,
0,7_2,10_10_21,8.020863,1,0,0,1,2.433574,InstructionPhase,-0.3029495,2.440118,0.08473921,355.5691,0.6690838,357.0016,
0,7_2,10_10_21,8.033562,1,0,0,1,2.446273,InstructionPhase,-0.3028075,2.439976,0.08530235,355.5931,0.6003014,357.0279,
0,7_2,10_10_21,8.046513,1,0,0,1,2.459224,InstructionPhase,-0.3027313,2.439912,0.08580744,355.6533,0.5536371,357.0479,
0,7_2,10_10_21,8.070127,1,0,0,1,2.482839,InstructionPhase,-0.3024741,2.439611,0.08663058,355.8423,0.5725071,357.0147,
0,7_2,10_10_21,8.084529,1,0,0,1,2.497241,InstructionPhase,-0.302282,2.439302,0.08746338,356.0204,0.5996746,356.9925,
0,7_2,10_10_21,8.098961,1,0,0,1,2.511672,InstructionPhase,-0.3022795,2.439081,0.0877068,356.1061,0.6297898,357.0086,
0,7_2,10_10_21,8.112491,1,0,0,1,2.525202,InstructionPhase,-0.302173,2.438931,0.0880276,356.1359,0.651781,357.047,
0,7_2,10_10_21,8.124776,1,0,0,1,2.537488,InstructionPhase,-0.3021455,2.438799,0.08836222,356.1303,0.6716307,357.1119,
0,7_2,10_10_21,8.136909,1,0,0,1,2.54962,InstructionPhase,-0.3020711,2.438718,0.08865154,356.1039,0.654247,357.1994,
0,7_2,10_10_21,8.151021,1,0,0,1,2.563733,InstructionPhase,-0.3019699,2.438525,0.08934438,356.0652,0.6426299,357.3722,
0,7_2,10_10_21,8.164783,1,0,0,1,2.577494,InstructionPhase,-0.3019339,2.438428,0.0896647,356.042,0.6233392,357.4779,
0,7_2,10_10_21,8.178185,1,0,0,1,2.590896,InstructionPhase,-0.3018829,2.438193,0.08995855,356.0706,0.6032032,357.5314,
0,7_2,10_10_21,8.191855,1,0,0,1,2.604567,InstructionPhase,-0.3017684,2.437991,0.09024608,356.1385,0.5905794,357.5492,
0,7_2,10_10_21,8.204956,1,0,0,1,2.617668,InstructionPhase,-0.3015038,2.437533,0.09083402,356.2829,0.5899234,357.5676,
0,7_2,10_10_21,8.21749,1,0,0,1,2.630202,InstructionPhase,-0.3012866,2.437236,0.09110153,356.3854,0.6151798,357.5309,
0,7_2,10_10_21,8.229468,1,0,0,1,2.64218,InstructionPhase,-0.3010367,2.436931,0.09132946,356.4899,0.6627101,357.4803,
0,7_2,10_10_21,8.241558,1,0,0,1,2.65427,InstructionPhase,-0.3008921,2.436635,0.09153295,356.5858,0.7141131,357.4414,
0,7_2,10_10_21,8.253707,1,0,0,1,2.666419,InstructionPhase,-0.3007196,2.436389,0.09174347,356.6496,0.7679937,357.4428,
0,7_2,10_10_21,8.26778,1,0,0,1,2.680492,InstructionPhase,-0.3005301,2.436179,0.09188712,356.7086,0.8327833,357.4529,
0,7_2,10_10_21,8.281281,1,0,0,1,2.693992,InstructionPhase,-0.3003507,2.435948,0.09197509,356.7479,0.8718056,357.4805,
0,7_2,10_10_21,8.295403,1,0,0,1,2.708114,InstructionPhase,-0.3000282,2.435557,0.09224975,356.8325,0.9598226,357.5329,
0,7_2,10_10_21,8.307291,1,0,0,1,2.720003,InstructionPhase,-0.299904,2.435433,0.09231555,356.8577,1.001717,357.5687,
0,7_2,10_10_21,8.319699,1,0,0,1,2.732411,InstructionPhase,-0.2996866,2.43529,0.09237564,356.8886,1.022107,357.5669,
0,7_2,10_10_21,8.332585,1,0,0,1,2.745297,InstructionPhase,-0.2994375,2.435168,0.09237611,356.9167,1.057006,357.5558,
0,7_2,10_10_21,8.346191,1,0,0,1,2.758903,InstructionPhase,-0.2993689,2.43506,0.09238303,356.9336,1.073807,357.5414,
0,7_2,10_10_21,8.358923,1,0,0,1,2.771635,InstructionPhase,-0.2992743,2.434988,0.09245872,356.9556,1.072089,357.537,
0,7_2,10_10_21,8.371803,1,0,0,1,2.784515,InstructionPhase,-0.2991172,2.434815,0.09248579,356.9886,1.077215,357.5503,
0,7_2,10_10_21,8.386645,1,0,0,1,2.799357,InstructionPhase,-0.2992266,2.434769,0.09239936,356.9807,1.045775,357.5702,
