SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,screenFixationX,screenFixationY,gazeFixationX,gazeFixationY,gazeFixationZ,localGazeX,localGazeY,localGazeZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,rightEyePositionX,rightEyePositionY,rightEyePositionZ,leftEyeRotationX,leftEyeRotationY,leftEyeRotationZ,rightEyeRotationX,rightEyeRotationY,rightEyeRotationZ,leftEyePupilSize,rightEyePupilSize,leftEyeOpenAmount,rightEyeOpenAmount,GazeHitPointX,GazeHitPointY,GazeHitPointZ,GameObjectInFocus
0,6_16,10_4_56,4.222194,2,0,0,0,0.3308766,0.78, 0.69,0.58, 1.83, 1.12,-0.04, 0.01, 1.00,30.50, 2.72, -38.67,-32.58, 2.48, -42.14,-0.06, 0.02, 1.00,-0.02, 0.00, 1.00,2.122635,2.03833,1,1,-0.1585365,1.968631,5.25,CS+ Object
0,6_16,10_4_56,4.235178,2,0,0,0,0.3438613,0.78, 0.69,0.58, 1.83, 1.12,-0.03, 0.01, 1.00,30.52, 2.68, -38.53,-32.58, 2.52, -42.28,-0.05, 0.02, 1.00,-0.02, 0.00, 1.00,2.149872,1.972794,1,1,-0.1872329,1.985635,5.25,CS+ Object
0,6_16,10_4_56,4.246087,2,0,0,0,0.3547699,0.78, 0.69,0.59, 1.83, 1.12,-0.02, 0.01, 1.00,30.52, 2.70, -38.55,-32.59, 2.64, -42.61,-0.06, 0.02, 1.00,-0.02, 0.00, 1.00,2.147125,2.035583,1,1,-0.1302599,1.966187,5.25,CS+ Object
0,6_16,10_4_56,4.256909,2,0,0,0,0.3655918,0.78, 0.69,0.59, 1.83, 1.12,-0.02, 0.01, 1.00,30.52, 2.72, -38.50,-32.59, 2.63, -42.60,-0.06, 0.01, 1.00,-0.02, 0.00, 1.00,2.140701,2.012985,1,1,-0.1554157,1.924336,5.25,CS+ Object
0,6_16,10_4_56,4.269065,2,0,0,0,0.3777483,0.78, 0.69,0.60, 1.83, 1.12,-0.02, 0.01, 1.00,30.53, 2.70, -38.48,-32.60, 2.63, -42.58,-0.06, 0.01, 1.00,-0.02, 0.00, 1.00,2.140961,2.019333,1,1,-0.1699814,1.923585,5.25,CS+ Object
0,6_16,10_4_56,4.28009,2,0,0,0,0.3887727,0.78, 0.69,0.60, 1.83, 1.12,-0.01, 0.01, 1.00,30.54, 2.69, -38.43,-32.61, 2.61, -42.54,-0.06, 0.01, 1.00,-0.02, 0.00, 1.00,2.142166,2.057129,1,1,-0.2692579,1.88621,5.25,CS+ Object
0,6_16,10_4_56,4.290957,2,0,0,0,0.3996398,0.79, 0.69,0.60, 1.83, 1.12,-0.01, 0.01, 1.00,30.54, 2.69, -38.41,-32.61, 2.59, -42.46,-0.06, 0.01, 1.00,-0.02, 0.00, 1.00,2.141632,2.046814,1,1,-0.18762,1.90995,5.25,CS+ Object
0,6_16,10_4_56,4.303805,2,0,0,0,0.4124882,0.79, 0.69,0.61, 1.83, 1.12,0.00, 0.01, 1.00,30.54, 2.70, -38.44,-32.62, 2.56, -42.38,-0.06, 0.01, 1.00,-0.02, 0.00, 1.00,2.141052,2.044632,1,1,-0.145205,1.924074,5.25,CS+ Object
0,6_16,10_4_56,4.314846,2,0,0,0,0.4235284,0.79, 0.69,0.61, 1.83, 1.12,0.00, 0.01, 1.00,30.54, 2.71, -38.48,-32.62, 2.52, -42.26,-0.06, 0.01, 1.00,-0.02, 0.00, 1.00,2.131714,2.03833,1,1,-0.1460002,1.924131,5.25,CS+ Object
0,6_16,10_4_56,4.325753,2,0,0,0,0.4344356,0.79, 0.69,0.61, 1.83, 1.12,0.00, 0.01, 1.00,30.54, 2.72, -38.50,-32.63, 2.52, -42.26,-0.06, 0.01, 1.00,-0.02, 0.00, 1.00,2.138931,2.042282,1,1,-0.1360503,1.922359,5.25,CS+ Object
0,6_16,10_4_56,4.337807,2,0,0,0,0.4464896,0.79, 0.69,0.62, 1.83, 1.12,0.01, 0.01, 1.00,30.54, 2.75, -38.61,-32.63, 2.52, -42.25,-0.06, 0.01, 1.00,-0.02, 0.00, 1.00,2.120575,2.042358,1,1,-0.1468297,1.921967,5.25,CS+ Object
0,6_16,10_4_56,4.34972,2,0,0,0,0.4584024,0.79, 0.69,0.62, 1.83, 1.12,0.01, 0.01, 1.00,30.54, 2.75, -38.62,-32.63, 2.52, -42.24,-0.06, 0.01, 1.00,-0.02, 0.00, 1.00,2.124985,2.046371,1,1,-0.159218,1.916064,5.25,CS+ Object
0,6_16,10_4_56,4.361774,2,0,0,0,0.4704568,0.79, 0.69,0.62, 1.83, 1.12,0.01, 0.01, 1.00,30.54, 2.75, -38.63,-32.63, 2.52, -42.25,-0.06, 0.01, 1.00,-0.02, 0.00, 1.00,2.129379,2.049774,1,1,-0.1894384,1.904387,5.25,CS+ Object
0,6_16,10_4_56,4.373762,2,0,0,0,0.4824445,0.79, 0.69,0.62, 1.83, 1.12,0.01, 0.01, 1.00,30.54, 2.76, -38.74,-32.64, 2.52, -42.26,-0.06, 0.01, 1.00,-0.02, 0.00, 1.00,2.11908,2.049957,1,1,-0.2697703,1.893449,5.25,CS+ Object
0,6_16,10_4_56,4.385204,2,0,0,0,0.4938872,0.79, 0.69,0.62, 1.83, 1.12,0.01, 0.01, 1.00,30.55, 2.76, -38.74,-32.64, 2.52, -42.26,-0.06, 0.01, 1.00,-0.02, 0.00, 1.00,2.128616,2.053177,1,1,-0.2766268,1.891231,5.25,CS+ Object
0,6_16,10_4_56,4.396588,2,0,0,0,0.5052707,0.79, 0.69,0.63, 1.83, 1.12,0.01, 0.01, 1.00,30.55, 2.76, -38.75,-32.64, 2.52, -42.26,-0.06, 0.01, 1.00,-0.02, 0.00, 1.00,2.131912,2.061462,1,1,-0.2670464,1.883817,5.25,CS+ Object
0,6_16,10_4_56,4.407804,2,0,0,0,0.5164864,0.79, 0.69,0.63, 1.83, 1.12,0.02, 0.01, 1.00,30.55, 2.76, -38.77,-32.64, 2.52, -42.26,-0.06, 0.01, 1.00,-0.03, 0.00, 1.00,2.127579,2.052872,1,1,-0.2450941,1.88644,5.25,CS+ Object
0,6_16,10_4_56,4.418935,2,0,0,0,0.5276177,0.79, 0.69,0.63, 1.83, 1.12,0.02, 0.01, 1.00,30.55, 2.76, -38.77,-32.64, 2.52, -42.25,-0.06, 0.01, 1.00,-0.03, 0.00, 1.00,2.127487,2.065552,1,1,-0.2327188,1.892334,5.25,CS+ Object
0,6_16,10_4_56,4.430064,2,0,0,0,0.5387466,0.80, 0.69,0.63, 1.83, 1.12,0.02, 0.01, 1.00,30.56, 2.76, -38.78,-32.64, 2.52, -42.24,-0.06, 0.01, 1.00,-0.03, -0.01, 1.00,2.127762,2.068161,1,1,-0.2147679,1.903671,5.25,CS+ Object
0,6_16,10_4_56,4.441858,2,0,0,0,0.5505407,0.80, 0.69,0.63, 1.83, 1.12,0.02, 0.01, 1.00,30.56, 2.76, -38.78,-32.64, 2.52, -42.24,-0.06, 0.01, 1.00,-0.02, -0.01, 1.00,2.132126,2.072525,1,1,-0.2124798,1.909182,5.25,CS+ Object
0,6_16,10_4_56,4.452904,2,0,0,0,0.5615866,0.80, 0.69,0.63, 1.83, 1.12,0.02, 0.01, 1.00,30.56, 2.76, -38.78,-32.63, 2.52, -42.24,-0.06, 0.01, 1.00,-0.02, -0.01, 1.00,2.132065,2.073318,1,1,-0.2114832,1.910657,5.25,CS+ Object
0,6_16,10_4_56,4.463837,2,0,0,0,0.5725195,0.80, 0.69,0.63, 1.83, 1.12,0.02, 0.01, 1.00,30.56, 2.76, -38.79,-32.63, 2.52, -42.24,-0.06, 0.01, 1.00,-0.03, -0.01, 1.00,2.134354,2.072617,1,1,-0.2098643,1.914922,5.25,CS+ Object
0,6_16,10_4_56,4.474307,2,0,0,0,0.5829899,0.80, 0.69,0.64, 1.83, 1.12,0.02, 0.01, 1.00,30.56, 2.76, -38.78,-32.63, 2.52, -42.24,-0.06, 0.01, 1.00,-0.03, -0.01, 1.00,2.134277,2.067841,1,1,-0.2097638,1.915848,5.25,CS+ Object
0,6_16,10_4_56,4.486244,2,0,0,0,0.5949271,0.80, 0.69,0.64, 1.83, 1.12,0.03, 0.01, 1.00,30.56, 2.75, -38.78,-32.63, 2.52, -42.23,-0.06, 0.02, 1.00,-0.03, -0.01, 1.00,2.134445,2.065521,1,1,-0.2045915,1.918922,5.25,CS+ Object
0,6_16,10_4_56,4.496984,2,0,0,0,0.6056664,0.80, 0.69,0.64, 1.83, 1.12,0.03, 0.01, 1.00,30.56, 2.76, -38.78,-32.63, 2.52, -42.20,-0.06, 0.01, 1.00,-0.03, -0.01, 1.00,2.126297,2.052094,1,1,-0.2025433,1.91739,5.25,CS+ Object
0,6_16,10_4_56,4.508658,2,0,0,0,0.6173413,0.80, 0.69,0.64, 1.83, 1.12,0.03, 0.01, 1.00,30.56, 2.76, -38.78,-32.63, 2.52, -42.20,-0.05, 0.01, 1.00,-0.03, -0.01, 1.00,2.126129,2.050888,1,1,-0.1998685,1.919232,5.25,CS+ Object
0,6_16,10_4_56,4.520431,2,0,0,0,0.6291134,0.80, 0.69,0.64, 1.83, 1.12,0.03, 0.01, 1.00,30.56, 2.77, -38.80,-32.63, 2.51, -42.20,-0.05, 0.01, 1.00,-0.03, -0.01, 1.00,2.124908,2.04808,1,1,-0.2072611,1.920492,5.25,CS+ Object
0,6_16,10_4_56,4.532026,2,0,0,0,0.6407087,0.80, 0.69,0.64, 1.83, 1.12,0.03, 0.01, 1.00,30.56, 2.76, -38.78,-32.63, 2.51, -42.19,-0.05, 0.01, 1.00,-0.03, -0.01, 1.00,2.12529,2.048767,1,1,-0.2081673,1.924087,5.25,CS+ Object
0,6_16,10_4_56,4.54286,2,0,0,0,0.6515429,0.80, 0.69,0.64, 1.83, 1.12,0.03, 0.01, 1.00,30.56, 2.77, -38.80,-32.63, 2.51, -42.16,-0.05, 0.01, 1.00,-0.03, -0.01, 1.00,2.124802,2.049026,1,1,-0.2086345,1.922133,5.25,CS+ Object
0,6_16,10_4_56,4.553924,2,0,0,0,0.662607,0.80, 0.69,0.64, 1.83, 1.12,0.03, 0.01, 1.00,30.56, 2.77, -38.81,-32.62, 2.51, -42.16,-0.05, 0.01, 1.00,-0.03, -0.01, 1.00,2.124588,2.048691,1,1,-0.2113185,1.918142,5.25,CS+ Object
0,6_16,10_4_56,4.565564,2,0,0,0,0.6742465,0.80, 0.69,0.64, 1.83, 1.12,0.03, 0.01, 1.00,30.56, 2.77, -38.81,-32.62, 2.51, -42.18,-0.05, 0.01, 1.00,-0.03, -0.01, 1.00,2.11792,2.04895,1,1,-0.2107325,1.921577,5.25,CS+ Object
0,6_16,10_4_56,4.576425,2,0,0,0,0.6851079,0.80, 0.69,0.64, 1.83, 1.12,0.03, 0.01, 1.00,30.56, 2.77, -38.81,-32.62, 2.51, -42.19,-0.05, 0.01, 1.00,-0.03, 0.00, 1.00,2.11644,2.049057,1,1,-0.2102802,1.926862,5.25,CS+ Object
0,6_16,10_4_56,4.586778,2,0,0,0,0.695461,0.80, 0.69,0.64, 1.83, 1.12,0.03, 0.01, 1.00,30.56, 2.77, -38.81,-32.62, 2.52, -42.20,-0.05, 0.01, 1.00,-0.03, -0.01, 1.00,2.118073,2.051086,1,1,-0.2048334,1.92647,5.25,CS+ Object
0,6_16,10_4_56,4.598447,2,0,0,0,0.7071297,0.80, 0.69,0.64, 1.83, 1.12,0.03, 0.01, 1.00,30.56, 2.77, -38.81,-32.62, 2.53, -42.22,-0.05, 0.01, 1.00,-0.03, -0.01, 1.00,2.112747,2.051315,1,1,-0.2038679,1.931733,5.25,CS+ Object
0,6_16,10_4_56,4.609495,2,0,0,0,0.7181776,0.80, 0.69,0.65, 1.83, 1.12,0.03, 0.01, 1.00,30.57, 2.77, -38.81,-32.61, 2.53, -42.24,-0.05, 0.01, 1.00,-0.03, -0.01, 1.00,2.11232,2.051117,1,1,-0.1972521,1.932109,5.25,CS+ Object
0,6_16,10_4_56,4.621602,2,0,0,0,0.7302845,0.80, 0.69,0.65, 1.83, 1.12,0.03, 0.01, 1.00,30.57, 2.77, -38.80,-32.61, 2.53, -42.24,-0.05, 0.01, 1.00,-0.03, 0.00, 1.00,2.112488,2.0672,1,1,-0.188082,1.940259,5.25,CS+ Object
0,6_16,10_4_57,4.63423,2,0,0,0,0.7429125,0.80, 0.69,0.65, 1.83, 1.12,0.04, 0.01, 1.00,30.57, 2.77, -38.79,-32.61, 2.53, -42.24,-0.05, 0.01, 1.00,-0.03, -0.01, 1.00,2.107635,2.066376,1,1,-0.1856106,1.93503,5.25,CS+ Object
